Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
BT7,32,1,3,5,3,3,2,2,4,0,5,2,5,96,96,92,100,100,87,87,96,100,100,96,96,60,30,110,130,150,150
BT7,32,1,5,8,5,8,6,6,5,6,6,2,4,100,96,100,100,92,100,100,100,92,100,100,100,0,120,70,0,70,40
BT7,32,1,2,2,4,4,4,5,2,3,3,5,5,100,92,100,92,100,96,100,83,87,100,100,87,150,150,100,130,110,150
BT7,32,1,2,3,2,3,3,3,3,2,3,2,4,NA,NA,NA,NA,96,92,100,79,100,87,75,100,80,80,120,110,110,100
JU31N,41,1,1,2,2,3,6,3,5,NA,NA,NA,NA,87,87,100,92,92,96,54,71,NA,NA,NA,NA,50,30,100,50,NA,NA
JU31N,41,1,3,1,1,2,2,2,3,NA,NA,NA,NA,96,96,62,67,96,100,96,100,NA,NA,NA,NA,60,150,80,70,NA,NA
JU31N,41,1,3,6,4,3,2,1,3,NA,NA,NA,NA,100,100,83,25,100,96,79,92,NA,NA,NA,NA,80,0,50,10,NA,NA
JU31N,41,1,3,3,3,3,3,4,2,NA,NA,NA,NA,100,92,100,96,83,100,96,96,NA,NA,NA,NA,30,40,30,60,NA,NA
JU31N,41,1,2,2,2,4,3,3,3,NA,NA,NA,NA,92,100,96,100,100,100,100,100,NA,NA,NA,NA,80,30,60,40,NA,NA
JU31N,41,1,2,3,2,3,3,3,4,NA,NA,NA,NA,96,92,83,96,87,92,96,100,NA,NA,NA,NA,110,40,70,150,NA,NA
JU31N,41,1,1,2,3,6,4,5,4,NA,NA,NA,NA,58,100,83,100,100,100,83,92,NA,NA,NA,NA,130,110,60,40,NA,NA
JU31N,41,1,2,3,2,2,2,1,1,NA,NA,NA,NA,92,92,83,83,92,92,67,71,NA,NA,NA,NA,90,110,50,60,NA,NA
JU31N,41,1,4,3,3,3,2,3,3,NA,NA,NA,NA,100,83,92,83,67,54,87,46,NA,NA,NA,NA,60,40,40,60,NA,NA
JU31N,41,1,4,2,2,3,2,2,1,NA,NA,NA,NA,100,100,100,71,50,29,96,79,NA,NA,NA,NA,40,30,50,80,NA,NA
JU31N,41,1,3,1,1,2,2,3,1,NA,NA,NA,NA,92,87,46,50,100,100,71,83,NA,NA,NA,NA,130,100,60,30,NA,NA
B19,30,1,6,5,7,3,4,3,3,NA,NA,NA,NA,92,100,92,42,96,96,75,96,NA,NA,NA,NA,30,80,40,30,NA,NA
B19,30,1,5,5,3,3,4,2,3,NA,NA,NA,NA,96,92,96,92,100,100,100,100,NA,NA,NA,NA,30,40,50,50,NA,NA
B19,30,1,6,4,5,7,4,3,4,NA,NA,NA,NA,87,96,92,92,83,83,83,100,NA,NA,NA,NA,40,70,40,50,NA,NA
B19,30,1,5,3,3,4,4,5,3,NA,NA,NA,NA,87,83,92,71,100,100,96,100,NA,NA,NA,NA,20,40,60,50,NA,NA
B19,30,1,4,3,5,3,3,6,4,NA,NA,NA,NA,62,100,87,75,62,83,75,92,NA,NA,NA,NA,130,70,80,40,NA,NA
B19,30,1,5,2,4,3,3,2,3,NA,NA,NA,NA,100,75,96,96,83,92,100,100,NA,NA,NA,NA,110,90,40,90,NA,NA
B18,32,1,1,1,1,4,0,1,3,NA,NA,NA,NA,100,67,87,83,92,83,92,100,NA,NA,NA,NA,140,120,80,140,NA,NA
B18,32,1,3,4,3,3,3,2,1,NA,NA,NA,NA,83,92,87,87,100,92,92,92,NA,NA,NA,NA,70,90,70,150,NA,NA
B18,32,1,4,2,3,3,2,1,1,NA,NA,NA,NA,100,83,75,83,100,92,100,62,NA,NA,NA,NA,70,NA,90,110,NA,NA
B18,32,1,1,2,1,3,2,2,2,NA,NA,NA,NA,92,79,62,42,100,96,42,83,NA,NA,NA,NA,80,80,140,70,NA,NA
B18,32,1,1,1,5,1,1,1,2,NA,NA,NA,NA,100,96,83,83,100,54,50,100,NA,NA,NA,NA,60,60,80,0,NA,NA
B18,32,1,1,1,2,3,2,1,1,NA,NA,NA,NA,100,50,100,83,92,50,100,54,NA,NA,NA,NA,110,70,90,50,NA,NA
JI64,31,1,4,4,5,4,4,4,7,NA,NA,NA,NA,100,100,92,87,92,79,25,100,NA,NA,NA,NA,140,30,50,50,NA,NA
JI64,31,1,4,5,6,6,5,5,3,NA,NA,NA,NA,87,62,87,83,92,75,96,75,NA,NA,NA,NA,100,100,90,130,NA,NA
JI64,31,1,7,5,3,6,6,6,6,NA,NA,NA,NA,96,96,100,83,96,92,100,83,NA,NA,NA,NA,70,60,40,30,NA,NA
